Phase,event_start,event_end,v_score,h_score
moving,9.430930233,9.465813953,0,-0.818181818
moving,9.465813953,9.500697674,0,-0.840909091
moving,9.500697674,9.535581395,0,-0.863636364
moving,9.535581395,9.570465116,0,-0.886363636
moving,9.570465116,9.605348837,0,-0.909090909
moving,9.605348837,9.640232558,0,-0.931818182
moving,9.640232558,9.675116279,0,-0.954545455
moving,9.675116279,9.71,0,-0.977272727
moving,9.71,10,0,-1
left,10,11.02,0,-1
moving,11.02,11.05488372,0,-0.977272727
moving,11.05488372,11.08976744,0,-0.954545455
moving,11.08976744,11.12465116,0,-0.931818182
moving,11.12465116,11.15953488,0,-0.909090909
moving,11.15953488,11.1944186,0,-0.886363636
moving,11.1944186,11.22930233,0,-0.863636364
moving,11.22930233,11.26418605,0,-0.840909091
moving,11.26418605,11.29906977,0,-0.818181818
moving,11.29906977,11.33395349,0,-0.795454545
moving,11.33395349,11.36883721,0,-0.772727273
moving,11.36883721,11.40372093,0,-0.75
moving,11.40372093,11.43860465,0,-0.727272727
moving,11.43860465,11.47348837,0,-0.704545455
moving,11.47348837,11.50837209,0,-0.681818182
moving,11.50837209,11.54325581,0,-0.659090909
moving,11.54325581,11.57813953,0,-0.636363636
moving,11.57813953,11.61302326,0,-0.613636364
moving,11.61302326,11.64790698,0,-0.590909091
moving,11.64790698,11.6827907,0,-0.568181818
moving,11.6827907,11.71767442,0,-0.545454545
moving,11.71767442,11.75255814,0,-0.522727273
moving,11.75255814,11.78744186,0,-0.5
moving,11.78744186,11.82232558,0,-0.477272727
moving,11.82232558,11.8572093,0,-0.454545455
moving,11.8572093,11.89209302,0,-0.431818182
moving,11.89209302,11.92697674,0,-0.409090909
moving,11.92697674,11.96186047,0,-0.386363636
moving,11.96186047,11.99674419,0,-0.363636364
moving,11.99674419,12.03162791,0,-0.340909091
moving,12.03162791,12.06651163,0,-0.318181818
moving,12.06651163,12.10139535,0,-0.295454545
moving,12.10139535,12.13627907,0,-0.272727273
moving,12.13627907,12.17116279,0,-0.25
moving,12.17116279,12.20604651,0,-0.227272727
moving,12.20604651,12.24093023,0,-0.204545455
moving,12.24093023,12.27581395,0,-0.181818182
moving,12.27581395,12.31069767,0,-0.159090909
moving,12.31069767,12.3455814,0,-0.136363636
moving,12.3455814,12.38046512,0,-0.113636364
moving,12.38046512,12.41534884,0,-0.090909091
moving,12.41534884,12.45023256,0,-0.068181818
moving,12.45023256,12.48511628,0,-0.045454545
moving,12.48511628,12.4,0,-0.022727273
fixation,12.4,13.41,0,0
end,13.41,100000,0,0
